DATETIME;t(s);0;1;2;3;4;5;6;7;8;9;$P_e$(2.2m);$P_e$(2.6m);$P_e$(3.0m);$P_e$(3.4m);$P_e$(3.8m)
2015-06-24 18:12:00;21820;96003.40761498979;107655.17278054448;95267.51578387928;109237.96834630397;96249.32952069664;110506.66709973855;96850.46200263605;109705.84637933833;79819.62297874512;89841.73170295071;100259.3942;100617.92171999998;103430.98379999999;102403.66455999999;83539.60119999999
2015-06-24 18:14:00;21970;94845.52932275586;106227.0221498621;96812.05184742776;107864.83596188357;97767.98127005501;111379.2028392728;97245.90269247766;112293.44799502497;78353.56868351421;91211.45287044301;100228.36777999999;100845.44879999998;103734.35324;102782.87636;83553.39072
2015-06-24 18:16:00;22080;97419.83892066612;108979.27122445063;95539.91434114496;108692.47861850516;97389.95142032548;111005.13062979047;95968.75458026303;109825.77634335379;78275.93090202821;91936.14563828298;100090.47257999999;100862.68569999999;103851.56416;102886.29775999999;84063.60295999999
2015-06-24 18:18:00;22200;94702.93202695188;106220.25860691027;95581.92030733463;107576.61007365996;96773.04257664087;112163.22870214083;98426.40421773048;111633.26537243437;81824.76595065047;94755.1020990546;99949.12999999999;100931.63329999999;104051.5122;103024.19295999999;85270.18595999999
2015-06-24 18:20:00;22320;96297.15431309123;108028.65242348418;95266.52031897604;109203.21082096464;98887.19076364562;112410.03125887383;98495.54371185153;111787.35721270143;83003.27533159379;93601.80586635003;99762.97148;100952.31757999999;104141.14408;102969.03487999999;86531.92704
2015-06-24 18:22:00;22430;94700.97643163659;107925.82364800596;94238.90122241623;109157.41698004049;99045.17446402377;111238.7194107624;98698.24095748908;109624.60243831294;84863.63806371902;92602.0353356762;99628.52365999999;100917.84378;104299.72356;103093.14055999999;87731.61528
2015-06-24 18:24:00;22550;94656.54514887383;106416.97449886524;95553.8954241337;108767.91812110409;96699.98784858393;112019.07131078537;97960.35947095885;109351.92126269222;84155.40778330785;96780.4964785839;99335.49635999999;101055.73898;104416.93448;103299.98336;88979.56683999998
2015-06-24 18:26:00;22670;94174.71616351506;104046.64338208946;95321.03662910446;109652.11150149995;98135.43889788796;112938.47268167406;97983.07090257661;111903.55129121477;87270.73928921792;97839.62811530515;98818.38935999999;100666.18504;103961.88032;103044.87723999999;91427.20663999999
2015-06-24 18:28:00;22780;97710.8420446929;107453.8581957229;94294.49046460121;108433.71257463931;96000.21569651247;110910.21265837878;97103.39940897333;109346.88126414601;90185.57262995126;104162.61595158414;100480.02651999998;100211.13088;103810.19559999999;102769.08683999999;94226.47919999999
2015-06-24 18:30:00;22900;99255.31738184851;110899.67932022545;94765.71918047951;109028.56773622826;97994.18991922798;112875.7841997009;97450.88958536988;111981.06228958855;94136.74192807986;102321.19715435259;103258.6148;100073.23568;103665.40564;102810.45539999999;96219.06483999999
2015-06-24 18:32:00;23020;98679.25338861706;108863.60999546801;94412.13195405781;108559.37510744014;98844.03869713713;112653.34470506589;97322.43665583458;109039.42731635537;92713.16437561056;104881.430280709;103344.79929999998;100038.76187999999;103879.14319999999;102838.03443999999;96777.5404
2015-06-24 18:34:00;23170;97198.14825182654;111375.72077463316;95450.28239086202;108902.36612265481;99578.56050658588;113136.96011846462;96436.96977453027;109879.03129421119;91462.87627225227;103605.19311632821;103606.80017999999;100069.78829999999;104030.82792;103072.45628;96729.27707999999
2015-06-24 18:36:00;23290;97658.10975838441;113191.87688905782;93517.94924134927;110661.34961140968;98297.60170260617;112286.50649452535;96333.48766054068;110287.4899499967;91734.37539499017;104338.70770932127;103617.14232;100045.65663999999;104030.82792;102989.71916;96425.90763999999
2015-06-24 18:38:00;23400;99210.89804662565;111795.00832933748;94348.24976855704;108278.02786384124;99395.14815911476;112630.51042658079;96387.97198364238;110487.48602194907;92238.32119694434;104952.09825574949;103572.32638;100011.18284;104044.61743999999;103086.24579999999;96474.17095999999
2015-06-24 18:40:00;23520;98548.16596977453;109879.05583571088;93403.47517816664;107694.92201760858;98359.73044920458;112527.84757152095;93063.80369439119;109927.73591899734;93025.43281490926;100819.20123817958;103686.08992;100038.76187999999;104058.40696;102934.56107999998;96101.85392
2015-06-24 18:42:00;23630;98632.5421509299;112764.17452481488;94171.56296627138;109176.86307082724;98256.1107349011;111239.83860528805;97526.65102123923;110384.0841963873;93118.96695152666;104611.50176345995;103586.11589999999;99983.6038;104161.82835999998;102948.35059999999;95674.37879999999
2015-06-24 18:44:00;23750;97420.98591659026;111827.35570691853;92217.11315466734;110787.34705218708;99329.04436645369;112938.57698336462;96535.33990515397;109402.66669536848;88372.76688575748;101789.57833843853;103530.95782;99852.60336;104168.72312;102727.71827999999;94447.11151999999
2015-06-24 18:46:00;23870;99214.63887298713;113317.48171723833;93630.42640666729;109455.31589151792;99841.718420369;111876.53419540409;97227.85603808676;109987.2292184022;86138.202883164;97683.65877410876;103417.19428;100486.92128;104134.24931999999;102872.50824;91420.31188
